Year,Articles,Country,Cancer
2001,0,United Kingdom,Liver cancer
2010,0,United Kingdom,Liver cancer
2011,0,United Kingdom,Liver cancer
2012,0,United Kingdom,Liver cancer
2019,0,United Kingdom,Liver cancer
1987,3,United Kingdom,Lung cancer
1990,1,United Kingdom,Lung cancer
1991,1,United Kingdom,Lung cancer
1992,2,United Kingdom,Lung cancer
1994,3,United Kingdom,Lung cancer
1995,2,United Kingdom,Lung cancer
1998,4,United Kingdom,Lung cancer
1999,1,United Kingdom,Lung cancer
2002,2,United Kingdom,Lung cancer
2003,1,United Kingdom,Lung cancer
2004,1,United Kingdom,Lung cancer
2005,1,United Kingdom,Lung cancer
2006,1,United Kingdom,Lung cancer
2007,1,United Kingdom,Lung cancer
2008,1,United Kingdom,Lung cancer
2009,1,United Kingdom,Lung cancer
2013,1,United Kingdom,Lung cancer
2014,1,United Kingdom,Lung cancer
2015,1,United Kingdom,Lung cancer
2016,1,United Kingdom,Lung cancer
2017,1,United Kingdom,Lung cancer
2018,2,United Kingdom,Lung cancer
2020,4,United Kingdom,Lung cancer
2021,2,United Kingdom,Lung cancer
2022,1,United Kingdom,Lung cancer
2023,1,United Kingdom,Lung cancer
2024,4,United Kingdom,Lung cancer
2025,3,United Kingdom,Lung cancer
1986,0,United Kingdom,Lung cancer
1988,0,United Kingdom,Lung cancer
1989,0,United Kingdom,Lung cancer
1993,0,United Kingdom,Lung cancer
1996,0,United Kingdom,Lung cancer
1997,0,United Kingdom,Lung cancer
2000,0,United Kingdom,Lung cancer
2001,0,United Kingdom,Lung cancer
2010,0,United Kingdom,Lung cancer
2011,0,United Kingdom,Lung cancer
2012,0,United Kingdom,Lung cancer
2019,0,United Kingdom,Lung cancer
1992,1,United Kingdom,Mesothelioma
1993,1,United Kingdom,Mesothelioma
1998,2,United Kingdom,Mesothelioma
1999,1,United Kingdom,Mesothelioma
2000,4,United Kingdom,Mesothelioma
2001,3,United Kingdom,Mesothelioma
2002,2,United Kingdom,Mesothelioma
2003,2,United Kingdom,Mesothelioma
2004,2,United Kingdom,Mesothelioma
2005,2,United Kingdom,Mesothelioma
2006,1,United Kingdom,Mesothelioma
2007,2,United Kingdom,Mesothelioma
2008,1,United Kingdom,Mesothelioma
2009,3,United Kingdom,Mesothelioma
2011,2,United Kingdom,Mesothelioma
2012,2,United Kingdom,Mesothelioma
2013,2,United Kingdom,Mesothelioma
2014,3,United Kingdom,Mesothelioma
2015,4,United Kingdom,Mesothelioma
2016,6,United Kingdom,Mesothelioma
2017,4,United Kingdom,Mesothelioma
2018,4,United Kingdom,Mesothelioma
2019,4,United Kingdom,Mesothelioma
2020,4,United Kingdom,Mesothelioma
2021,4,United Kingdom,Mesothelioma
2022,3,United Kingdom,Mesothelioma
2023,1,United Kingdom,Mesothelioma
2024,3,United Kingdom,Mesothelioma
2025,1,United Kingdom,Mesothelioma
1986,0,United Kingdom,Mesothelioma
1987,0,United Kingdom,Mesothelioma
1988,0,United Kingdom,Mesothelioma
1989,0,United Kingdom,Mesothelioma
1990,0,United Kingdom,Mesothelioma
1991,0,United Kingdom,Mesothelioma
1994,0,United Kingdom,Mesothelioma
1995,0,United Kingdom,Mesothelioma
1996,0,United Kingdom,Mesothelioma
1997,0,United Kingdom,Mesothelioma
2010,0,United Kingdom,Mesothelioma
2003,1,United Kingdom,Mouth cancer
2004,1,United Kingdom,Mouth cancer
1986,0,United Kingdom,Mouth cancer
1987,0,United Kingdom,Mouth cancer
1988,0,United Kingdom,Mouth cancer
1989,0,United Kingdom,Mouth cancer
1990,0,United Kingdom,Mouth cancer
1991,0,United Kingdom,Mouth cancer
1992,0,United Kingdom,Mouth cancer
1993,0,United Kingdom,Mouth cancer
1994,0,United Kingdom,Mouth cancer
1995,0,United Kingdom,Mouth cancer
1996,0,United Kingdom,Mouth cancer
1997,0,United Kingdom,Mouth cancer
1998,0,United Kingdom,Mouth cancer
1999,0,United Kingdom,Mouth cancer
2000,0,United Kingdom,Mouth cancer
2001,0,United Kingdom,Mouth cancer
2002,0,United Kingdom,Mouth cancer
2005,0,United Kingdom,Mouth cancer
2006,0,United Kingdom,Mouth cancer
2007,0,United Kingdom,Mouth cancer
2008,0,United Kingdom,Mouth cancer
2009,0,United Kingdom,Mouth cancer
2010,0,United Kingdom,Mouth cancer
2011,0,United Kingdom,Mouth cancer
2012,0,United Kingdom,Mouth cancer
2013,0,United Kingdom,Mouth cancer
2014,0,United Kingdom,Mouth cancer
2015,0,United Kingdom,Mouth cancer
2016,0,United Kingdom,Mouth cancer
2017,0,United Kingdom,Mouth cancer
2018,0,United Kingdom,Mouth cancer
2019,0,United Kingdom,Mouth cancer
2020,0,United Kingdom,Mouth cancer
2021,0,United Kingdom,Mouth cancer
2022,0,United Kingdom,Mouth cancer
2023,0,United Kingdom,Mouth cancer
2024,0,United Kingdom,Mouth cancer
2025,0,United Kingdom,Mouth cancer
1987,1,United Kingdom,Multiple myeloma
1988,1,United Kingdom,Multiple myeloma
1989,2,United Kingdom,Multiple myeloma
1990,3,United Kingdom,Multiple myeloma
1991,1,United Kingdom,Multiple myeloma
1992,2,United Kingdom,Multiple myeloma
1993,4,United Kingdom,Multiple myeloma
1994,6,United Kingdom,Multiple myeloma
1995,5,United Kingdom,Multiple myeloma
1996,6,United Kingdom,Multiple myeloma
1997,4,United Kingdom,Multiple myeloma
1998,3,United Kingdom,Multiple myeloma
1999,5,United Kingdom,Multiple myeloma
2000,3,United Kingdom,Multiple myeloma
2001,5,United Kingdom,Multiple myeloma
2002,4,United Kingdom,Multiple myeloma
2003,6,United Kingdom,Multiple myeloma
2004,4,United Kingdom,Multiple myeloma
2005,2,United Kingdom,Multiple myeloma
2006,3,United Kingdom,Multiple myeloma
2007,3,United Kingdom,Multiple myeloma
2008,3,United Kingdom,Multiple myeloma
2009,2,United Kingdom,Multiple myeloma
2010,5,United Kingdom,Multiple myeloma
2011,5,United Kingdom,Multiple myeloma
2012,4,United Kingdom,Multiple myeloma
2013,6,United Kingdom,Multiple myeloma
2014,3,United Kingdom,Multiple myeloma
2015,6,United Kingdom,Multiple myeloma
2016,8,United Kingdom,Multiple myeloma
2017,5,United Kingdom,Multiple myeloma
2018,7,United Kingdom,Multiple myeloma
2019,10,United Kingdom,Multiple myeloma
2020,10,United Kingdom,Multiple myeloma
2021,12,United Kingdom,Multiple myeloma
2022,9,United Kingdom,Multiple myeloma
2023,5,United Kingdom,Multiple myeloma
2024,2,United Kingdom,Multiple myeloma
2025,2,United Kingdom,Multiple myeloma
1986,0,United Kingdom,Multiple myeloma
1987,1,United Kingdom,Non-Hodgkin lymphoma
1991,3,United Kingdom,Non-Hodgkin lymphoma
1992,1,United Kingdom,Non-Hodgkin lymphoma
1994,1,United Kingdom,Non-Hodgkin lymphoma
1997,2,United Kingdom,Non-Hodgkin lymphoma
1998,1,United Kingdom,Non-Hodgkin lymphoma
1999,3,United Kingdom,Non-Hodgkin lymphoma
2000,4,United Kingdom,Non-Hodgkin lymphoma
2001,2,United Kingdom,Non-Hodgkin lymphoma
2002,1,United Kingdom,Non-Hodgkin lymphoma
2003,1,United Kingdom,Non-Hodgkin lymphoma
2004,4,United Kingdom,Non-Hodgkin lymphoma
2005,2,United Kingdom,Non-Hodgkin lymphoma
2006,3,United Kingdom,Non-Hodgkin lymphoma
2007,3,United Kingdom,Non-Hodgkin lymphoma
2008,3,United Kingdom,Non-Hodgkin lymphoma
2009,2,United Kingdom,Non-Hodgkin lymphoma
2010,4,United Kingdom,Non-Hodgkin lymphoma
2011,1,United Kingdom,Non-Hodgkin lymphoma
2012,2,United Kingdom,Non-Hodgkin lymphoma
2013,6,United Kingdom,Non-Hodgkin lymphoma
2014,5,United Kingdom,Non-Hodgkin lymphoma
2015,2,United Kingdom,Non-Hodgkin lymphoma
2016,5,United Kingdom,Non-Hodgkin lymphoma
2017,3,United Kingdom,Non-Hodgkin lymphoma
2018,3,United Kingdom,Non-Hodgkin lymphoma
2019,7,United Kingdom,Non-Hodgkin lymphoma
2020,5,United Kingdom,Non-Hodgkin lymphoma
2021,10,United Kingdom,Non-Hodgkin lymphoma
2022,2,United Kingdom,Non-Hodgkin lymphoma
2023,4,United Kingdom,Non-Hodgkin lymphoma
2024,3,United Kingdom,Non-Hodgkin lymphoma
2025,4,United Kingdom,Non-Hodgkin lymphoma
1986,0,United Kingdom,Non-Hodgkin lymphoma
1988,0,United Kingdom,Non-Hodgkin lymphoma
1989,0,United Kingdom,Non-Hodgkin lymphoma
1990,0,United Kingdom,Non-Hodgkin lymphoma
1993,0,United Kingdom,Non-Hodgkin lymphoma
1995,0,United Kingdom,Non-Hodgkin lymphoma
1996,0,United Kingdom,Non-Hodgkin lymphoma
1986,0,United Kingdom,Other cancer
1987,0,United Kingdom,Other cancer
1988,0,United Kingdom,Other cancer
1989,0,United Kingdom,Other cancer
1990,0,United Kingdom,Other cancer
1991,0,United Kingdom,Other cancer
1992,0,United Kingdom,Other cancer
1993,0,United Kingdom,Other cancer
1994,0,United Kingdom,Other cancer
1995,0,United Kingdom,Other cancer
1996,0,United Kingdom,Other cancer
1997,0,United Kingdom,Other cancer
1998,0,United Kingdom,Other cancer
1999,0,United Kingdom,Other cancer
2000,0,United Kingdom,Other cancer
2001,0,United Kingdom,Other cancer
2002,0,United Kingdom,Other cancer
2003,0,United Kingdom,Other cancer
2004,0,United Kingdom,Other cancer
2005,0,United Kingdom,Other cancer
2006,0,United Kingdom,Other cancer
2007,0,United Kingdom,Other cancer
2008,0,United Kingdom,Other cancer
2009,0,United Kingdom,Other cancer
2010,0,United Kingdom,Other cancer
2011,0,United Kingdom,Other cancer
2012,0,United Kingdom,Other cancer
2013,0,United Kingdom,Other cancer
2014,0,United Kingdom,Other cancer
2015,0,United Kingdom,Other cancer
2016,0,United Kingdom,Other cancer
2017,0,United Kingdom,Other cancer
2018,0,United Kingdom,Other cancer
2019,0,United Kingdom,Other cancer
2020,0,United Kingdom,Other cancer
2021,0,United Kingdom,Other cancer
2022,0,United Kingdom,Other cancer
2023,0,United Kingdom,Other cancer
2024,0,United Kingdom,Other cancer
2025,0,United Kingdom,Other cancer
1987,2,United Kingdom,Ovarian cancer
1988,1,United Kingdom,Ovarian cancer
1989,4,United Kingdom,Ovarian cancer
1990,7,United Kingdom,Ovarian cancer
1991,7,United Kingdom,Ovarian cancer
1992,5,United Kingdom,Ovarian cancer
1993,5,United Kingdom,Ovarian cancer
1994,8,United Kingdom,Ovarian cancer
1995,11,United Kingdom,Ovarian cancer
1996,7,United Kingdom,Ovarian cancer
1997,9,United Kingdom,Ovarian cancer
1998,5,United Kingdom,Ovarian cancer
1999,5,United Kingdom,Ovarian cancer
2000,3,United Kingdom,Ovarian cancer
2001,7,United Kingdom,Ovarian cancer
2002,8,United Kingdom,Ovarian cancer
2003,5,United Kingdom,Ovarian cancer
2004,11,United Kingdom,Ovarian cancer
2005,8,United Kingdom,Ovarian cancer
2006,9,United Kingdom,Ovarian cancer
2007,9,United Kingdom,Ovarian cancer
2008,4,United Kingdom,Ovarian cancer
2009,2,United Kingdom,Ovarian cancer
2010,7,United Kingdom,Ovarian cancer
2011,9,United Kingdom,Ovarian cancer
2012,10,United Kingdom,Ovarian cancer
2013,13,United Kingdom,Ovarian cancer
2014,9,United Kingdom,Ovarian cancer
2015,11,United Kingdom,Ovarian cancer
2016,10,United Kingdom,Ovarian cancer
2017,11,United Kingdom,Ovarian cancer
2018,8,United Kingdom,Ovarian cancer
2019,9,United Kingdom,Ovarian cancer
2020,5,United Kingdom,Ovarian cancer
2021,16,United Kingdom,Ovarian cancer
2022,9,United Kingdom,Ovarian cancer
2023,5,United Kingdom,Ovarian cancer
2024,7,United Kingdom,Ovarian cancer
2025,3,United Kingdom,Ovarian cancer
1986,0,United Kingdom,Ovarian cancer
1993,2,United Kingdom,Pancreatic cancer
1994,2,United Kingdom,Pancreatic cancer
1995,2,United Kingdom,Pancreatic cancer
1996,3,United Kingdom,Pancreatic cancer
1997,3,United Kingdom,Pancreatic cancer
1998,1,United Kingdom,Pancreatic cancer
1999,1,United Kingdom,Pancreatic cancer
2000,5,United Kingdom,Pancreatic cancer
2001,7,United Kingdom,Pancreatic cancer
2002,5,United Kingdom,Pancreatic cancer
2003,4,United Kingdom,Pancreatic cancer
2004,3,United Kingdom,Pancreatic cancer
2005,3,United Kingdom,Pancreatic cancer
2006,3,United Kingdom,Pancreatic cancer
2007,2,United Kingdom,Pancreatic cancer
2008,2,United Kingdom,Pancreatic cancer
2009,5,United Kingdom,Pancreatic cancer
2010,3,United Kingdom,Pancreatic cancer
2011,1,United Kingdom,Pancreatic cancer
2012,6,United Kingdom,Pancreatic cancer
2013,3,United Kingdom,Pancreatic cancer
2014,6,United Kingdom,Pancreatic cancer
2015,2,United Kingdom,Pancreatic cancer
2016,5,United Kingdom,Pancreatic cancer
2017,8,United Kingdom,Pancreatic cancer
2018,5,United Kingdom,Pancreatic cancer
2019,2,United Kingdom,Pancreatic cancer
2020,1,United Kingdom,Pancreatic cancer
2021,2,United Kingdom,Pancreatic cancer
2022,3,United Kingdom,Pancreatic cancer
2023,3,United Kingdom,Pancreatic cancer
2024,1,United Kingdom,Pancreatic cancer
2025,2,United Kingdom,Pancreatic cancer
1986,0,United Kingdom,Pancreatic cancer
1987,0,United Kingdom,Pancreatic cancer
1988,0,United Kingdom,Pancreatic cancer
1989,0,United Kingdom,Pancreatic cancer
1990,0,United Kingdom,Pancreatic cancer
1991,0,United Kingdom,Pancreatic cancer
1992,0,United Kingdom,Pancreatic cancer
2008,1,United Kingdom,Penile cancer
2019,2,United Kingdom,Penile cancer
1986,0,United Kingdom,Penile cancer
1987,0,United Kingdom,Penile cancer
1988,0,United Kingdom,Penile cancer
1989,0,United Kingdom,Penile cancer
1990,0,United Kingdom,Penile cancer
1991,0,United Kingdom,Penile cancer
1992,0,United Kingdom,Penile cancer
1993,0,United Kingdom,Penile cancer
1994,0,United Kingdom,Penile cancer
1995,0,United Kingdom,Penile cancer
1996,0,United Kingdom,Penile cancer
1997,0,United Kingdom,Penile cancer
1998,0,United Kingdom,Penile cancer
1999,0,United Kingdom,Penile cancer
2000,0,United Kingdom,Penile cancer
2001,0,United Kingdom,Penile cancer
2002,0,United Kingdom,Penile cancer
2003,0,United Kingdom,Penile cancer
2004,0,United Kingdom,Penile cancer
2005,0,United Kingdom,Penile cancer
2006,0,United Kingdom,Penile cancer
2007,0,United Kingdom,Penile cancer
2009,0,United Kingdom,Penile cancer
2010,0,United Kingdom,Penile cancer
2011,0,United Kingdom,Penile cancer
2012,0,United Kingdom,Penile cancer
2013,0,United Kingdom,Penile cancer
2014,0,United Kingdom,Penile cancer
2015,0,United Kingdom,Penile cancer
2016,0,United Kingdom,Penile cancer
2017,0,United Kingdom,Penile cancer
2018,0,United Kingdom,Penile cancer
2020,0,United Kingdom,Penile cancer
2021,0,United Kingdom,Penile cancer
2022,0,United Kingdom,Penile cancer
2023,0,United Kingdom,Penile cancer
2024,0,United Kingdom,Penile cancer
2025,0,United Kingdom,Penile cancer
1988,3,United Kingdom,Prostate cancer
1989,2,United Kingdom,Prostate cancer
1990,3,United Kingdom,Prostate cancer
1991,4,United Kingdom,Prostate cancer
1992,4,United Kingdom,Prostate cancer
1993,2,United Kingdom,Prostate cancer
1994,6,United Kingdom,Prostate cancer
1995,3,United Kingdom,Prostate cancer
1996,2,United Kingdom,Prostate cancer
1997,4,United Kingdom,Prostate cancer
1998,7,United Kingdom,Prostate cancer
1999,4,United Kingdom,Prostate cancer
2000,9,United Kingdom,Prostate cancer
2001,5,United Kingdom,Prostate cancer
2002,9,United Kingdom,Prostate cancer
2003,14,United Kingdom,Prostate cancer
2004,15,United Kingdom,Prostate cancer
2005,13,United Kingdom,Prostate cancer
2006,10,United Kingdom,Prostate cancer
2007,15,United Kingdom,Prostate cancer
2008,13,United Kingdom,Prostate cancer
2009,25,United Kingdom,Prostate cancer
2010,23,United Kingdom,Prostate cancer
2011,16,United Kingdom,Prostate cancer
2012,24,United Kingdom,Prostate cancer
2013,24,United Kingdom,Prostate cancer
2014,23,United Kingdom,Prostate cancer
2015,21,United Kingdom,Prostate cancer
2016,25,United Kingdom,Prostate cancer
2017,28,United Kingdom,Prostate cancer
2018,26,United Kingdom,Prostate cancer
2019,29,United Kingdom,Prostate cancer
2020,30,United Kingdom,Prostate cancer
2021,31,United Kingdom,Prostate cancer
2022,31,United Kingdom,Prostate cancer
2023,22,United Kingdom,Prostate cancer
2024,26,United Kingdom,Prostate cancer
2025,18,United Kingdom,Prostate cancer
1986,0,United Kingdom,Prostate cancer
1987,0,United Kingdom,Prostate cancer
1988,1,United Kingdom,Rectal cancer
1989,1,United Kingdom,Rectal cancer
1991,1,United Kingdom,Rectal cancer
1993,2,United Kingdom,Rectal cancer
1994,2,United Kingdom,Rectal cancer
1999,4,United Kingdom,Rectal cancer
2000,2,United Kingdom,Rectal cancer
2002,1,United Kingdom,Rectal cancer
2003,4,United Kingdom,Rectal cancer
2004,2,United Kingdom,Rectal cancer
2005,2,United Kingdom,Rectal cancer
2006,4,United Kingdom,Rectal cancer
2007,5,United Kingdom,Rectal cancer
2008,4,United Kingdom,Rectal cancer
2009,3,United Kingdom,Rectal cancer
2010,3,United Kingdom,Rectal cancer
2011,4,United Kingdom,Rectal cancer
2012,5,United Kingdom,Rectal cancer
2013,3,United Kingdom,Rectal cancer
2014,7,United Kingdom,Rectal cancer
2015,6,United Kingdom,Rectal cancer
2016,6,United Kingdom,Rectal cancer
2017,5,United Kingdom,Rectal cancer
2018,5,United Kingdom,Rectal cancer
2019,4,United Kingdom,Rectal cancer
2020,4,United Kingdom,Rectal cancer
2021,6,United Kingdom,Rectal cancer
2022,3,United Kingdom,Rectal cancer
2023,4,United Kingdom,Rectal cancer
2025,4,United Kingdom,Rectal cancer
1986,0,United Kingdom,Rectal cancer
1987,0,United Kingdom,Rectal cancer
1990,0,United Kingdom,Rectal cancer
1992,0,United Kingdom,Rectal cancer
1995,0,United Kingdom,Rectal cancer
1996,0,United Kingdom,Rectal cancer
1997,0,United Kingdom,Rectal cancer
1998,0,United Kingdom,Rectal cancer
2001,0,United Kingdom,Rectal cancer
2024,0,United Kingdom,Rectal cancer
2020,1,United Kingdom,Salivary gland cancer
1986,0,United Kingdom,Salivary gland cancer
1987,0,United Kingdom,Salivary gland cancer
1988,0,United Kingdom,Salivary gland cancer
1989,0,United Kingdom,Salivary gland cancer
1990,0,United Kingdom,Salivary gland cancer
1991,0,United Kingdom,Salivary gland cancer
1992,0,United Kingdom,Salivary gland cancer
1993,0,United Kingdom,Salivary gland cancer
1994,0,United Kingdom,Salivary gland cancer
1995,0,United Kingdom,Salivary gland cancer
1996,0,United Kingdom,Salivary gland cancer
1997,0,United Kingdom,Salivary gland cancer
1998,0,United Kingdom,Salivary gland cancer
1999,0,United Kingdom,Salivary gland cancer
2000,0,United Kingdom,Salivary gland cancer
2001,0,United Kingdom,Salivary gland cancer
2002,0,United Kingdom,Salivary gland cancer
2003,0,United Kingdom,Salivary gland cancer
2004,0,United Kingdom,Salivary gland cancer
2005,0,United Kingdom,Salivary gland cancer
2006,0,United Kingdom,Salivary gland cancer
2007,0,United Kingdom,Salivary gland cancer
2008,0,United Kingdom,Salivary gland cancer
2009,0,United Kingdom,Salivary gland cancer
2010,0,United Kingdom,Salivary gland cancer
2011,0,United Kingdom,Salivary gland cancer
2012,0,United Kingdom,Salivary gland cancer
2013,0,United Kingdom,Salivary gland cancer
2014,0,United Kingdom,Salivary gland cancer
2015,0,United Kingdom,Salivary gland cancer
2016,0,United Kingdom,Salivary gland cancer
2017,0,United Kingdom,Salivary gland cancer
2018,0,United Kingdom,Salivary gland cancer
2019,0,United Kingdom,Salivary gland cancer
2021,0,United Kingdom,Salivary gland cancer
2022,0,United Kingdom,Salivary gland cancer
2023,0,United Kingdom,Salivary gland cancer
2024,0,United Kingdom,Salivary gland cancer
2025,0,United Kingdom,Salivary gland cancer
1991,1,United Kingdom,Skin cancer
1992,11,United Kingdom,Skin cancer
1993,8,United Kingdom,Skin cancer
1994,7,United Kingdom,Skin cancer
1995,2,United Kingdom,Skin cancer
1996,10,United Kingdom,Skin cancer
1997,6,United Kingdom,Skin cancer
1998,7,United Kingdom,Skin cancer
1999,5,United Kingdom,Skin cancer
2000,12,United Kingdom,Skin cancer
2001,5,United Kingdom,Skin cancer
2002,4,United Kingdom,Skin cancer
2003,11,United Kingdom,Skin cancer
2004,13,United Kingdom,Skin cancer
2005,11,United Kingdom,Skin cancer
2006,8,United Kingdom,Skin cancer
2007,9,United Kingdom,Skin cancer
2008,13,United Kingdom,Skin cancer
2009,6,United Kingdom,Skin cancer
2010,12,United Kingdom,Skin cancer
2011,9,United Kingdom,Skin cancer
2012,10,United Kingdom,Skin cancer
2013,9,United Kingdom,Skin cancer
2014,7,United Kingdom,Skin cancer
2015,13,United Kingdom,Skin cancer
2016,6,United Kingdom,Skin cancer
2017,8,United Kingdom,Skin cancer
2018,12,United Kingdom,Skin cancer
2019,7,United Kingdom,Skin cancer
2020,9,United Kingdom,Skin cancer
2021,6,United Kingdom,Skin cancer
2022,8,United Kingdom,Skin cancer
2023,2,United Kingdom,Skin cancer
2024,7,United Kingdom,Skin cancer
2025,4,United Kingdom,Skin cancer
1986,0,United Kingdom,Skin cancer
1987,0,United Kingdom,Skin cancer
1988,0,United Kingdom,Skin cancer
1989,0,United Kingdom,Skin cancer
1990,0,United Kingdom,Skin cancer
1989,1,United Kingdom,Stomach cancer
1992,1,United Kingdom,Stomach cancer
1994,2,United Kingdom,Stomach cancer
1995,1,United Kingdom,Stomach cancer
1996,1,United Kingdom,Stomach cancer
1998,1,United Kingdom,Stomach cancer
1999,2,United Kingdom,Stomach cancer
2001,2,United Kingdom,Stomach cancer
2002,1,United Kingdom,Stomach cancer
2003,1,United Kingdom,Stomach cancer
2004,2,United Kingdom,Stomach cancer
2006,1,United Kingdom,Stomach cancer
2013,1,United Kingdom,Stomach cancer
2014,1,United Kingdom,Stomach cancer
2015,2,United Kingdom,Stomach cancer
2016,1,United Kingdom,Stomach cancer
2019,1,United Kingdom,Stomach cancer
2021,1,United Kingdom,Stomach cancer
2023,1,United Kingdom,Stomach cancer
2024,1,United Kingdom,Stomach cancer
1986,0,United Kingdom,Stomach cancer
1987,0,United Kingdom,Stomach cancer
1988,0,United Kingdom,Stomach cancer
1990,0,United Kingdom,Stomach cancer
1991,0,United Kingdom,Stomach cancer
1993,0,United Kingdom,Stomach cancer
1997,0,United Kingdom,Stomach cancer
2000,0,United Kingdom,Stomach cancer
2005,0,United Kingdom,Stomach cancer
2007,0,United Kingdom,Stomach cancer
2008,0,United Kingdom,Stomach cancer
2009,0,United Kingdom,Stomach cancer
2010,0,United Kingdom,Stomach cancer
2011,0,United Kingdom,Stomach cancer
2012,0,United Kingdom,Stomach cancer
2017,0,United Kingdom,Stomach cancer
2018,0,United Kingdom,Stomach cancer
2020,0,United Kingdom,Stomach cancer
2022,0,United Kingdom,Stomach cancer
2025,0,United Kingdom,Stomach cancer
2019,1,United Kingdom,Testicular cancer
2020,1,United Kingdom,Testicular cancer
2021,1,United Kingdom,Testicular cancer
2022,1,United Kingdom,Testicular cancer
1994,1,United Kingdom,Testicular cancer
1998,1,United Kingdom,Testicular cancer
2000,2,United Kingdom,Testicular cancer
2004,1,United Kingdom,Testicular cancer
2005,1,United Kingdom,Testicular cancer
2007,1,United Kingdom,Testicular cancer
2012,1,United Kingdom,Testicular cancer
2013,1,United Kingdom,Testicular cancer
2015,1,United Kingdom,Testicular cancer
1986,0,United Kingdom,Testicular cancer
1987,0,United Kingdom,Testicular cancer
1988,0,United Kingdom,Testicular cancer
1989,0,United Kingdom,Testicular cancer
1990,0,United Kingdom,Testicular cancer
1991,0,United Kingdom,Testicular cancer
1992,0,United Kingdom,Testicular cancer
1993,0,United Kingdom,Testicular cancer
1995,0,United Kingdom,Testicular cancer
1996,0,United Kingdom,Testicular cancer
1997,0,United Kingdom,Testicular cancer
1999,0,United Kingdom,Testicular cancer
2001,0,United Kingdom,Testicular cancer
2002,0,United Kingdom,Testicular cancer
2003,0,United Kingdom,Testicular cancer
2006,0,United Kingdom,Testicular cancer
2008,0,United Kingdom,Testicular cancer
2009,0,United Kingdom,Testicular cancer
2010,0,United Kingdom,Testicular cancer
2011,0,United Kingdom,Testicular cancer
2014,0,United Kingdom,Testicular cancer
2016,0,United Kingdom,Testicular cancer
2017,0,United Kingdom,Testicular cancer
2018,0,United Kingdom,Testicular cancer
2023,0,United Kingdom,Testicular cancer
2024,0,United Kingdom,Testicular cancer
2025,0,United Kingdom,Testicular cancer
1986,0,United Kingdom,Throat cancer
1987,0,United Kingdom,Throat cancer
1988,0,United Kingdom,Throat cancer
1989,0,United Kingdom,Throat cancer
1990,0,United Kingdom,Throat cancer
1991,0,United Kingdom,Throat cancer
1992,0,United Kingdom,Throat cancer
1993,0,United Kingdom,Throat cancer
1994,0,United Kingdom,Throat cancer
1995,0,United Kingdom,Throat cancer
1996,0,United Kingdom,Throat cancer
1997,0,United Kingdom,Throat cancer
1998,0,United Kingdom,Throat cancer
1999,0,United Kingdom,Throat cancer
2000,0,United Kingdom,Throat cancer
2001,0,United Kingdom,Throat cancer
2002,0,United Kingdom,Throat cancer
2003,0,United Kingdom,Throat cancer
2004,0,United Kingdom,Throat cancer
2005,0,United Kingdom,Throat cancer
2006,0,United Kingdom,Throat cancer
2007,0,United Kingdom,Throat cancer
2008,0,United Kingdom,Throat cancer
2009,0,United Kingdom,Throat cancer
2010,0,United Kingdom,Throat cancer
2011,0,United Kingdom,Throat cancer
2012,0,United Kingdom,Throat cancer
2013,0,United Kingdom,Throat cancer
2014,0,United Kingdom,Throat cancer
2015,0,United Kingdom,Throat cancer
2016,0,United Kingdom,Throat cancer
2017,0,United Kingdom,Throat cancer
2018,0,United Kingdom,Throat cancer
2019,0,United Kingdom,Throat cancer
2020,0,United Kingdom,Throat cancer
2021,0,United Kingdom,Throat cancer
2022,0,United Kingdom,Throat cancer
2023,0,United Kingdom,Throat cancer
2024,0,United Kingdom,Throat cancer
2025,0,United Kingdom,Throat cancer
2016,1,United Kingdom,Thyroid cancer
2017,1,United Kingdom,Thyroid cancer
2018,1,United Kingdom,Thyroid cancer
2019,2,United Kingdom,Thyroid cancer
2023,1,United Kingdom,Thyroid cancer
2024,2,United Kingdom,Thyroid cancer
2025,1,United Kingdom,Thyroid cancer
1999,2,United Kingdom,Thyroid cancer
2002,1,United Kingdom,Thyroid cancer
2003,1,United Kingdom,Thyroid cancer
2004,4,United Kingdom,Thyroid cancer
2006,1,United Kingdom,Thyroid cancer
2007,1,United Kingdom,Thyroid cancer
2010,1,United Kingdom,Thyroid cancer
2011,1,United Kingdom,Thyroid cancer
2012,1,United Kingdom,Thyroid cancer
2014,1,United Kingdom,Thyroid cancer
1986,0,United Kingdom,Thyroid cancer
1987,0,United Kingdom,Thyroid cancer
1988,0,United Kingdom,Thyroid cancer
1989,0,United Kingdom,Thyroid cancer
1990,0,United Kingdom,Thyroid cancer
1991,0,United Kingdom,Thyroid cancer
1992,0,United Kingdom,Thyroid cancer
1993,0,United Kingdom,Thyroid cancer
1994,0,United Kingdom,Thyroid cancer
1995,0,United Kingdom,Thyroid cancer
1996,0,United Kingdom,Thyroid cancer
1997,0,United Kingdom,Thyroid cancer
1998,0,United Kingdom,Thyroid cancer
2000,0,United Kingdom,Thyroid cancer
2001,0,United Kingdom,Thyroid cancer
2005,0,United Kingdom,Thyroid cancer
2008,0,United Kingdom,Thyroid cancer
2009,0,United Kingdom,Thyroid cancer
2013,0,United Kingdom,Thyroid cancer
2015,0,United Kingdom,Thyroid cancer
2020,0,United Kingdom,Thyroid cancer
