Country,Cancer,ASR,Crude rate
Sri Lanka,Non-Hodgkin lymphoma,3.3,4.7
Chad,Non-Hodgkin lymphoma,2.5,2.0
Chile,Non-Hodgkin lymphoma,5.3,8.2
China,Non-Hodgkin lymphoma,3.5,5.7
Colombia,Non-Hodgkin lymphoma,6.0,7.5
Comoros,Non-Hodgkin lymphoma,4.2,3.4
Congo Republic,Non-Hodgkin lymphoma,1.2,0.86
DR Congo,Non-Hodgkin lymphoma,3.1,2.0
Costa Rica,Non-Hodgkin lymphoma,5.7,7.9
Croatia,Non-Hodgkin lymphoma,10.2,20.8
Cuba,Non-Hodgkin lymphoma,6.4,10.2
Cyprus,Non-Hodgkin lymphoma,11.3,17.8
Czechia,Non-Hodgkin lymphoma,7.9,16.4
Benin,Non-Hodgkin lymphoma,2.1,1.4
Denmark,Non-Hodgkin lymphoma,14.0,30.1
Dominican Republic,Non-Hodgkin lymphoma,2.6,2.7
Ecuador,Non-Hodgkin lymphoma,7.4,8.1
El Salvador,Non-Hodgkin lymphoma,2.5,2.8
Ethiopia,Non-Hodgkin lymphoma,4.1,3.0
Eritrea,Non-Hodgkin lymphoma,4.9,3.6
Estonia,Non-Hodgkin lymphoma,9.4,19.3
Fiji,Non-Hodgkin lymphoma,5.3,5.6
Finland,Non-Hodgkin lymphoma,11.4,27.0
France,Non-Hodgkin lymphoma,11.3,25.9
French Guiana,Non-Hodgkin lymphoma,7.7,7.3
French Polynesia,Non-Hodgkin lymphoma,6.9,9.2
Djibouti,Non-Hodgkin lymphoma,5.0,4.4
Gabon,Non-Hodgkin lymphoma,3.9,3.3
Georgia,Non-Hodgkin lymphoma,5.0,7.5
Gambia,Non-Hodgkin lymphoma,1.7,1.5
Palestine,Non-Hodgkin lymphoma,6.7,4.5
Germany,Non-Hodgkin lymphoma,9.0,22.6
Ghana,Non-Hodgkin lymphoma,5.0,4.2
Greece,Non-Hodgkin lymphoma,7.4,16.1
Guadeloupe,Non-Hodgkin lymphoma,5.7,10.8
Guam,Non-Hodgkin lymphoma,4.7,7.0
Guatemala,Non-Hodgkin lymphoma,2.5,1.9
Guinea,Non-Hodgkin lymphoma,2.6,2.0
Guyana,Non-Hodgkin lymphoma,5.9,5.9
Haiti,Non-Hodgkin lymphoma,4.4,3.8
Honduras,Non-Hodgkin lymphoma,6.1,5.0
Hungary,Non-Hodgkin lymphoma,7.3,13.7
Iceland,Non-Hodgkin lymphoma,10.2,19.1
India,Non-Hodgkin lymphoma,2.8,2.8
Indonesia,Non-Hodgkin lymphoma,5.5,5.8
Iran,Non-Hodgkin lymphoma,4.0,4.3
Iraq,Non-Hodgkin lymphoma,6.6,4.6
Ireland,Non-Hodgkin lymphoma,11.6,20.5
Israel,Non-Hodgkin lymphoma,13.9,18.8
Italy,Non-Hodgkin lymphoma,11.6,25.9
Cote d'Ivoire,Non-Hodgkin lymphoma,4.8,3.5
Jamaica,Non-Hodgkin lymphoma,6.9,8.0
Japan,Non-Hodgkin lymphoma,9.4,28.8
Kazakhstan,Non-Hodgkin lymphoma,2.2,2.5
Jordan,Non-Hodgkin lymphoma,6.5,5.3
Kenya,Non-Hodgkin lymphoma,4.8,3.0
North Korea,Non-Hodgkin lymphoma,2.0,2.7
South Korea,Non-Hodgkin lymphoma,5.7,10.4
Kuwait,Non-Hodgkin lymphoma,6.2,5.9
Kyrgyz Republic,Non-Hodgkin lymphoma,1.6,1.4
Laos,Non-Hodgkin lymphoma,4.3,3.6
Lebanon,Non-Hodgkin lymphoma,8.4,9.6
Lesotho,Non-Hodgkin lymphoma,2.6,2.3
Latvia,Non-Hodgkin lymphoma,7.7,13.7
Liberia,Non-Hodgkin lymphoma,3.6,2.8
Libya,Non-Hodgkin lymphoma,5.3,4.7
Lithuania,Non-Hodgkin lymphoma,5.8,11.5
Luxembourg,Non-Hodgkin lymphoma,8.9,14.5
Madagascar,Non-Hodgkin lymphoma,4.1,3.1
Malawi,Non-Hodgkin lymphoma,6.5,6.5
Malaysia,Non-Hodgkin lymphoma,6.0,6.5
Maldives,Non-Hodgkin lymphoma,4.6,3.9
Mali,Non-Hodgkin lymphoma,2.6,1.9
Malta,Non-Hodgkin lymphoma,14.6,29.5
Martinique,Non-Hodgkin lymphoma,4.4,10.2
Mauritania,Non-Hodgkin lymphoma,2.6,2.0
Mauritius,Non-Hodgkin lymphoma,2.5,3.7
Mexico,Non-Hodgkin lymphoma,6.2,6.8
Mongolia,Non-Hodgkin lymphoma,1.5,1.3
Moldova,Non-Hodgkin lymphoma,5.8,7.7
Montenegro,Non-Hodgkin lymphoma,5.6,9.1
Morocco,Non-Hodgkin lymphoma,5.7,6.3
Mozambique,Non-Hodgkin lymphoma,5.6,4.1
Oman,Non-Hodgkin lymphoma,6.3,5.0
Namibia,Non-Hodgkin lymphoma,7.4,5.7
Nepal,Non-Hodgkin lymphoma,2.1,1.9
Netherlands,Non-Hodgkin lymphoma,12.0,25.5
New Caledonia,Non-Hodgkin lymphoma,8.0,11.0
Vanuatu,Non-Hodgkin lymphoma,3.6,3.4
New Zealand,Non-Hodgkin lymphoma,10.3,19.4
Nicaragua,Non-Hodgkin lymphoma,4.6,4.4
Niger,Non-Hodgkin lymphoma,1.8,1.4
Nigeria,Non-Hodgkin lymphoma,4.0,2.4
Norway,Non-Hodgkin lymphoma,10.9,21.7
Pakistan,Non-Hodgkin lymphoma,4.1,3.2
Panama,Non-Hodgkin lymphoma,4.5,5.2
Papua New Guinea,Non-Hodgkin lymphoma,6.6,5.1
Paraguay,Non-Hodgkin lymphoma,5.8,5.6
Peru,Non-Hodgkin lymphoma,9.6,11.6
Philippines,Non-Hodgkin lymphoma,4.9,4.4
Poland,Non-Hodgkin lymphoma,5.6,11.1
Portugal,Non-Hodgkin lymphoma,10.8,24.0
Guinea-Bissau,Non-Hodgkin lymphoma,2.8,2.0
Timor-Leste,Non-Hodgkin lymphoma,3.7,2.8
Puerto Rico,Non-Hodgkin lymphoma,9.4,19.3
Qatar,Non-Hodgkin lymphoma,3.9,3.2
Reunion,Non-Hodgkin lymphoma,5.6,8.9
Romania,Non-Hodgkin lymphoma,5.6,9.2
Russia,Non-Hodgkin lymphoma,5.2,8.3
Rwanda,Non-Hodgkin lymphoma,3.0,2.3
St. Lucia,Non-Hodgkin lymphoma,7.3,9.2
Sao Tome and Principe,Non-Hodgkin lymphoma,0.0,0.0
Saudi Arabia,Non-Hodgkin lymphoma,6.0,5.3
Senegal,Non-Hodgkin lymphoma,2.4,1.8
Serbia,Non-Hodgkin lymphoma,6.1,11.1
Sierra Leone,Non-Hodgkin lymphoma,0.64,0.81
Singapore,Non-Hodgkin lymphoma,11.3,19.4
Slovakia,Non-Hodgkin lymphoma,6.3,12.5
Vietnam,Non-Hodgkin lymphoma,3.0,3.6
Slovenia,Non-Hodgkin lymphoma,10.3,23.0
Somalia,Non-Hodgkin lymphoma,4.3,2.8
South Africa,Non-Hodgkin lymphoma,5.6,5.4
Zimbabwe,Non-Hodgkin lymphoma,10.3,7.0
Spain,Non-Hodgkin lymphoma,9.6,19.4
South Sudan,Non-Hodgkin lymphoma,3.5,2.4
Sudan,Non-Hodgkin lymphoma,4.9,3.3
Suriname,Non-Hodgkin lymphoma,5.6,6.2
Eswatini,Non-Hodgkin lymphoma,3.1,2.5
Sweden,Non-Hodgkin lymphoma,10.7,23.2
Switzerland,Non-Hodgkin lymphoma,9.8,21.7
Syria,Non-Hodgkin lymphoma,5.5,4.7
Tajikistan,Non-Hodgkin lymphoma,2.3,1.9
Thailand,Non-Hodgkin lymphoma,5.9,9.4
Togo,Non-Hodgkin lymphoma,3.8,2.8
Trinidad and Tobago,Non-Hodgkin lymphoma,7.1,9.1
United Arab Emirates,Non-Hodgkin lymphoma,4.0,2.1
Tunisia,Non-Hodgkin lymphoma,5.8,7.2
Türkiye,Non-Hodgkin lymphoma,6.6,8.0
Turkmenistan,Non-Hodgkin lymphoma,1.3,1.2
Uganda,Non-Hodgkin lymphoma,7.4,4.7
Ukraine,Non-Hodgkin lymphoma,3.9,6.1
North Macedonia,Non-Hodgkin lymphoma,2.3,3.9
Egypt,Non-Hodgkin lymphoma,9.6,8.4
United Kingdom,Non-Hodgkin lymphoma,11.2,23.4
Tanzania,Non-Hodgkin lymphoma,3.3,2.1
United States,Non-Hodgkin lymphoma,12.5,23.3
Burkina Faso,Non-Hodgkin lymphoma,2.3,1.7
Uruguay,Non-Hodgkin lymphoma,8.7,13.9
Uzbekistan,Non-Hodgkin lymphoma,1.8,1.8
Venezuela,Non-Hodgkin lymphoma,6.2,7.0
Samoa,Non-Hodgkin lymphoma,8.4,6.9
Yemen,Non-Hodgkin lymphoma,3.6,2.7
Zambia,Non-Hodgkin lymphoma,3.5,2.1
"Micronesia, Fed. Sts.",Non-Hodgkin lymphoma,5.0,5.4
Afghanistan,Esophageal cancer,4.8,2.3
Albania,Esophageal cancer,1.3,2.7
Algeria,Esophageal cancer,0.61,0.63
Angola,Esophageal cancer,6.4,2.7
Azerbaijan,Esophageal cancer,8.0,9.4
Argentina,Esophageal cancer,3.1,4.7
Australia,Esophageal cancer,3.2,6.7
Austria,Esophageal cancer,2.5,5.5
Bahamas,Esophageal cancer,2.0,2.5
Bahrain,Esophageal cancer,1.2,0.67
Bangladesh,Esophageal cancer,16.0,15.0
Armenia,Esophageal cancer,1.2,2.0
Barbados,Esophageal cancer,0.92,2.4
Belgium,Esophageal cancer,4.5,9.8
Bhutan,Esophageal cancer,6.5,5.8
Bolivia,Esophageal cancer,1.4,1.4
Bosnia and Herzegovina,Esophageal cancer,1.4,3.0
Botswana,Esophageal cancer,7.8,5.5
Brazil,Esophageal cancer,3.7,5.1
Belize,Esophageal cancer,0.97,0.73
Solomon Islands,Esophageal cancer,2.3,1.5
Brunei Darussalam,Esophageal cancer,1.4,1.4
Bulgaria,Esophageal cancer,1.6,3.3
Myanmar,Esophageal cancer,6.9,7.2
Burundi,Esophageal cancer,8.8,3.6
Belarus,Esophageal cancer,3.5,6.2
Cambodia,Esophageal cancer,2.9,2.2
Cameroon,Esophageal cancer,1.3,0.59
Canada,Esophageal cancer,3.2,8.2
Cabo Verde,Esophageal cancer,3.8,3.4
Central African Republic,Esophageal cancer,1.3,0.66
Sri Lanka,Esophageal cancer,5.4,8.7
Chad,Esophageal cancer,1.4,0.67
Chile,Esophageal cancer,2.2,4.4
China,Esophageal cancer,8.3,15.9
Colombia,Esophageal cancer,1.4,2.0
Comoros,Esophageal cancer,10.4,5.8
Congo Republic,Esophageal cancer,0.43,0.22
DR Congo,Esophageal cancer,2.8,1.4
Costa Rica,Esophageal cancer,0.81,1.4
Croatia,Esophageal cancer,2.3,5.1
Cuba,Esophageal cancer,4.4,8.6
Cyprus,Esophageal cancer,0.73,1.4
Czechia,Esophageal cancer,3.1,6.2
Benin,Esophageal cancer,3.3,1.7
Denmark,Esophageal cancer,4.3,10.4
Dominican Republic,Esophageal cancer,1.7,1.9
Ecuador,Esophageal cancer,0.87,1.1
El Salvador,Esophageal cancer,1.0,1.3
Ethiopia,Esophageal cancer,2.3,1.2
Eritrea,Esophageal cancer,2.8,1.8
Estonia,Esophageal cancer,3.5,7.0
Fiji,Esophageal cancer,2.0,1.9
Finland,Esophageal cancer,2.6,6.8
France,Esophageal cancer,3.6,7.5
French Guiana,Esophageal cancer,1.8,1.6
French Polynesia,Esophageal cancer,3.0,4.2
Djibouti,Esophageal cancer,2.5,2.1
Gabon,Esophageal cancer,1.7,1.1
Georgia,Esophageal cancer,1.1,2.2
Gambia,Esophageal cancer,2.0,1.0
Palestine,Esophageal cancer,0.7,0.41
Germany,Esophageal cancer,3.5,8.7
Ghana,Esophageal cancer,2.6,1.5
Greece,Esophageal cancer,0.93,2.4
Guadeloupe,Esophageal cancer,3.8,7.5
Guam,Esophageal cancer,1.3,1.8
Guatemala,Esophageal cancer,1.0,0.81
Guinea,Esophageal cancer,0.55,0.28
Guyana,Esophageal cancer,0.79,0.88
Haiti,Esophageal cancer,2.2,1.8
Honduras,Esophageal cancer,1.4,1.1
Hungary,Esophageal cancer,2.9,5.9
Iceland,Esophageal cancer,3.5,7.2
India,Esophageal cancer,5.0,5.0
Indonesia,Esophageal cancer,0.48,0.5
Iran,Esophageal cancer,3.9,4.1
Iraq,Esophageal cancer,1.2,0.66
Ireland,Esophageal cancer,5.3,10.4
Israel,Esophageal cancer,1.1,1.9
Italy,Esophageal cancer,1.6,4.1
Cote d'Ivoire,Esophageal cancer,0.66,0.33
Jamaica,Esophageal cancer,1.9,2.6
Japan,Esophageal cancer,4.8,15.9
Kazakhstan,Esophageal cancer,4.1,4.9
Jordan,Esophageal cancer,1.1,0.76
Kenya,Esophageal cancer,13.0,5.9
North Korea,Esophageal cancer,4.2,6.2
South Korea,Esophageal cancer,2.2,4.8
Kuwait,Esophageal cancer,1.1,0.73
Kyrgyz Republic,Esophageal cancer,3.3,2.6
Laos,Esophageal cancer,4.4,3.4
Lebanon,Esophageal cancer,0.61,0.72
Lesotho,Esophageal cancer,7.4,5.5
Latvia,Esophageal cancer,3.7,7.7
Liberia,Esophageal cancer,0.59,0.36
Libya,Esophageal cancer,0.89,0.72
Lithuania,Esophageal cancer,4.3,8.8
Luxembourg,Esophageal cancer,2.2,4.8
Madagascar,Esophageal cancer,4.2,2.3
Malawi,Esophageal cancer,17.9,9.3
Malaysia,Esophageal cancer,1.2,1.3
Maldives,Esophageal cancer,0.0,0.0
Mali,Esophageal cancer,2.8,1.3
Malta,Esophageal cancer,1.6,5.0
Martinique,Esophageal cancer,1.7,4.5
Mauritania,Esophageal cancer,1.8,1.0
Mauritius,Esophageal cancer,1.8,3.1
Mexico,Esophageal cancer,0.95,1.1
Mongolia,Esophageal cancer,15.7,11.9
Moldova,Esophageal cancer,2.1,3.3
Montenegro,Esophageal cancer,1.9,3.5
Morocco,Esophageal cancer,1.0,1.2
Mozambique,Esophageal cancer,9.2,4.6
Oman,Esophageal cancer,1.2,0.66
Namibia,Esophageal cancer,2.8,1.6
Nepal,Esophageal cancer,0.97,0.83
Netherlands,Esophageal cancer,6.7,15.9
New Caledonia,Esophageal cancer,2.9,4.1
Vanuatu,Esophageal cancer,0.42,0.31
New Zealand,Esophageal cancer,3.6,8.1
Nicaragua,Esophageal cancer,0.74,0.69
Niger,Esophageal cancer,0.95,0.47
Nigeria,Esophageal cancer,0.59,0.26
Norway,Esophageal cancer,3.0,6.6
Pakistan,Esophageal cancer,5.5,4.1
Panama,Esophageal cancer,0.94,1.2
Papua New Guinea,Esophageal cancer,3.7,2.2
Paraguay,Esophageal cancer,3.0,2.8
Peru,Esophageal cancer,0.82,1.1
Philippines,Esophageal cancer,1.4,1.3
Poland,Esophageal cancer,2.7,5.4
Portugal,Esophageal cancer,3.1,6.8
Guinea-Bissau,Esophageal cancer,0.95,0.44
Timor-Leste,Esophageal cancer,0.38,0.22
Puerto Rico,Esophageal cancer,2.0,5.1
Qatar,Esophageal cancer,1.3,0.54
Reunion,Esophageal cancer,3.8,6.0
Romania,Esophageal cancer,2.1,4.0
Russia,Esophageal cancer,3.5,6.4
Rwanda,Esophageal cancer,2.0,1.1
St. Lucia,Esophageal cancer,1.7,2.2
Sao Tome and Principe,Esophageal cancer,1.6,0.88
Saudi Arabia,Esophageal cancer,1.0,0.74
Senegal,Esophageal cancer,1.7,0.92
Serbia,Esophageal cancer,1.5,2.9
Sierra Leone,Esophageal cancer,0.01,0.01
Singapore,Esophageal cancer,1.9,3.9
Slovakia,Esophageal cancer,3.2,5.8
Vietnam,Esophageal cancer,3.1,3.7
Slovenia,Esophageal cancer,2.2,5.3
Somalia,Esophageal cancer,5.4,2.4
South Africa,Esophageal cancer,6.4,5.5
Zimbabwe,Esophageal cancer,12.0,5.8
Spain,Esophageal cancer,2.1,4.7
South Sudan,Esophageal cancer,5.7,3.0
Sudan,Esophageal cancer,2.9,1.8
Suriname,Esophageal cancer,0.43,0.5
Eswatini,Esophageal cancer,1.9,1.1
Sweden,Esophageal cancer,2.3,6.3
Switzerland,Esophageal cancer,3.1,7.5
Syria,Esophageal cancer,0.69,0.55
Tajikistan,Esophageal cancer,2.3,1.3
Thailand,Esophageal cancer,2.7,4.8
Togo,Esophageal cancer,3.8,1.9
Trinidad and Tobago,Esophageal cancer,1.3,2.1
United Arab Emirates,Esophageal cancer,0.97,0.33
Tunisia,Esophageal cancer,0.7,0.91
Türkiye,Esophageal cancer,1.2,1.6
Turkmenistan,Esophageal cancer,7.7,6.3
Uganda,Esophageal cancer,13.2,5.0
Ukraine,Esophageal cancer,3.2,5.7
North Macedonia,Esophageal cancer,1.0,1.9
Egypt,Esophageal cancer,1.8,1.5
United Kingdom,Esophageal cancer,5.9,14.0
Tanzania,Esophageal cancer,11.8,5.6
United States,Esophageal cancer,2.8,5.6
Burkina Faso,Esophageal cancer,3.2,1.4
Uruguay,Esophageal cancer,4.2,8.1
Uzbekistan,Esophageal cancer,5.0,4.3
Venezuela,Esophageal cancer,1.2,1.5
Samoa,Esophageal cancer,2.5,2.0
Yemen,Esophageal cancer,5.4,2.8
Zambia,Esophageal cancer,6.6,2.7
"Micronesia, Fed. Sts.",Esophageal cancer,1.5,1.6
Afghanistan,Ovarian cancer,4.2,2.6
Albania,Ovarian cancer,8.8,13.8
Algeria,Ovarian cancer,5.0,5.1
Angola,Ovarian cancer,2.9,2.4
Azerbaijan,Ovarian cancer,5.9,7.6
Argentina,Ovarian cancer,6.8,9.3
Australia,Ovarian cancer,7.8,13.7
Austria,Ovarian cancer,7.7,16.2
Bahamas,Ovarian cancer,9.3,12.2
Bahrain,Ovarian cancer,5.1,4.6
Bangladesh,Ovarian cancer,3.3,3.4
Armenia,Ovarian cancer,5.0,8.3
Barbados,Ovarian cancer,7.3,15.5
Belgium,Ovarian cancer,6.9,14.1
Bhutan,Ovarian cancer,5.6,5.4
Bolivia,Ovarian cancer,3.1,2.8
Bosnia and Herzegovina,Ovarian cancer,9.8,17.6
Botswana,Ovarian cancer,2.8,2.5
Brazil,Ovarian cancer,5.1,7.0
Belize,Ovarian cancer,0.69,0.96
Solomon Islands,Ovarian cancer,6.8,5.4
Brunei Darussalam,Ovarian cancer,13.2,15.4
Bulgaria,Ovarian cancer,10.0,19.2
Myanmar,Ovarian cancer,5.6,6.3
Burundi,Ovarian cancer,4.8,2.6
Belarus,Ovarian cancer,9.2,14.8
Cambodia,Ovarian cancer,5.6,5.4
Cameroon,Ovarian cancer,5.9,3.5
Canada,Ovarian cancer,9.2,17.1
Cabo Verde,Ovarian cancer,3.9,3.9
Central African Republic,Ovarian cancer,5.8,3.4
Sri Lanka,Ovarian cancer,8.2,11.6
Chad,Ovarian cancer,3.6,2.2
Chile,Ovarian cancer,6.3,9.6
China,Ovarian cancer,5.7,8.8
Colombia,Ovarian cancer,6.7,8.6
Comoros,Ovarian cancer,2.5,1.8
Congo Republic,Ovarian cancer,3.5,2.3
DR Congo,Ovarian cancer,4.1,2.3
Costa Rica,Ovarian cancer,4.3,5.8
Croatia,Ovarian cancer,10.7,22.7
Cuba,Ovarian cancer,5.3,8.6
Cyprus,Ovarian cancer,10.6,19.5
Czechia,Ovarian cancer,8.0,16.9
Benin,Ovarian cancer,2.8,1.7
Denmark,Ovarian cancer,7.2,15.0
Dominican Republic,Ovarian cancer,2.7,3.0
Ecuador,Ovarian cancer,5.1,5.6
El Salvador,Ovarian cancer,4.3,5.2
Ethiopia,Ovarian cancer,6.8,4.5
Eritrea,Ovarian cancer,7.2,5.0
Estonia,Ovarian cancer,9.4,19.5
Fiji,Ovarian cancer,11.1,11.6
Finland,Ovarian cancer,7.4,16.2
France,Ovarian cancer,7.1,16.8
French Guiana,Ovarian cancer,8.1,7.6
French Polynesia,Ovarian cancer,6.4,8.6
Djibouti,Ovarian cancer,6.5,6.0
Gabon,Ovarian cancer,7.8,5.7
Georgia,Ovarian cancer,10.6,18.8
Gambia,Ovarian cancer,2.2,1.5
Palestine,Ovarian cancer,4.2,2.8
Germany,Ovarian cancer,7.0,17.8
Ghana,Ovarian cancer,10.1,7.5
Greece,Ovarian cancer,8.9,18.7
Guadeloupe,Ovarian cancer,7.1,13.5
Guam,Ovarian cancer,7.3,9.4
Guatemala,Ovarian cancer,3.0,2.5
Guinea,Ovarian cancer,3.1,2.1
Guyana,Ovarian cancer,4.5,4.8
Haiti,Ovarian cancer,4.9,4.5
Honduras,Ovarian cancer,4.0,3.6
Hungary,Ovarian cancer,10.2,20.1
Iceland,Ovarian cancer,6.9,16.3
India,Ovarian cancer,6.6,7.0
Indonesia,Ovarian cancer,9.8,10.9
Iran,Ovarian cancer,4.2,4.8
Iraq,Ovarian cancer,6.7,4.8
Ireland,Ovarian cancer,9.9,17.6
Israel,Ovarian cancer,7.7,11.0
Italy,Ovarian cancer,9.0,19.5
Cote d'Ivoire,Ovarian cancer,4.3,2.5
Jamaica,Ovarian cancer,5.5,7.0
Japan,Ovarian cancer,8.7,16.6
Kazakhstan,Ovarian cancer,7.7,9.4
Jordan,Ovarian cancer,5.7,4.7
Kenya,Ovarian cancer,7.9,4.4
North Korea,Ovarian cancer,5.9,8.5
South Korea,Ovarian cancer,6.5,10.9
Kuwait,Ovarian cancer,5.5,4.9
Kyrgyz Republic,Ovarian cancer,7.3,7.1
Laos,Ovarian cancer,5.5,4.9
Lebanon,Ovarian cancer,6.7,7.5
Lesotho,Ovarian cancer,2.6,2.4
Latvia,Ovarian cancer,15.3,29.9
Liberia,Ovarian cancer,3.3,2.4
Libya,Ovarian cancer,5.3,5.3
Lithuania,Ovarian cancer,12.8,25.6
Luxembourg,Ovarian cancer,6.1,14.5
Madagascar,Ovarian cancer,2.8,1.8
Malawi,Ovarian cancer,3.3,2.4
Malaysia,Ovarian cancer,10.3,11.4
Maldives,Ovarian cancer,8.1,8.4
Mali,Ovarian cancer,5.4,3.0
Malta,Ovarian cancer,10.7,19.9
Martinique,Ovarian cancer,3.5,7.4
Mauritania,Ovarian cancer,4.8,3.3
Mauritius,Ovarian cancer,7.9,11.9
Mexico,Ovarian cancer,6.7,7.7
Mongolia,Ovarian cancer,5.7,5.7
Moldova,Ovarian cancer,6.9,10.6
Montenegro,Ovarian cancer,4.8,10.4
Morocco,Ovarian cancer,6.3,7.2
Mozambique,Ovarian cancer,1.9,1.2
Oman,Ovarian cancer,3.5,2.8
Namibia,Ovarian cancer,4.6,3.5
Nepal,Ovarian cancer,4.1,4.0
Netherlands,Ovarian cancer,8.1,16.9
New Caledonia,Ovarian cancer,6.7,9.0
Vanuatu,Ovarian cancer,2.2,1.9
New Zealand,Ovarian cancer,8.5,15.2
Nicaragua,Ovarian cancer,3.5,3.6
Niger,Ovarian cancer,7.7,4.3
Nigeria,Ovarian cancer,4.2,2.7
Norway,Ovarian cancer,9.2,17.5
Pakistan,Ovarian cancer,5.6,4.5
Panama,Ovarian cancer,4.0,4.8
Papua New Guinea,Ovarian cancer,7.3,6.0
Paraguay,Ovarian cancer,4.8,4.7
Peru,Ovarian cancer,5.8,6.9
Philippines,Ovarian cancer,11.7,11.5
Poland,Ovarian cancer,12.2,24.0
Portugal,Ovarian cancer,5.8,12.8
Guinea-Bissau,Ovarian cancer,4.0,2.6
Timor-Leste,Ovarian cancer,6.6,5.2
Puerto Rico,Ovarian cancer,5.4,11.0
Qatar,Ovarian cancer,5.8,4.0
Reunion,Ovarian cancer,5.5,8.8
Romania,Ovarian cancer,9.6,18.3
Russia,Ovarian cancer,11.5,18.7
Rwanda,Ovarian cancer,4.0,2.8
St. Lucia,Ovarian cancer,4.5,6.4
Sao Tome and Principe,Ovarian cancer,6.7,4.4
Saudi Arabia,Ovarian cancer,3.3,2.8
Senegal,Ovarian cancer,4.4,3.0
Serbia,Ovarian cancer,9.3,16.7
Sierra Leone,Ovarian cancer,2.7,2.0
Singapore,Ovarian cancer,10.3,16.9
Slovakia,Ovarian cancer,10.0,17.9
Vietnam,Ovarian cancer,2.5,3.1
Slovenia,Ovarian cancer,8.1,18.7
Somalia,Ovarian cancer,7.0,3.7
South Africa,Ovarian cancer,5.1,5.1
Zimbabwe,Ovarian cancer,6.5,4.0
Spain,Ovarian cancer,7.6,14.6
South Sudan,Ovarian cancer,4.4,2.8
Sudan,Ovarian cancer,6.4,4.4
Suriname,Ovarian cancer,5.5,6.7
Eswatini,Ovarian cancer,3.0,2.3
Sweden,Ovarian cancer,7.9,14.2
Switzerland,Ovarian cancer,6.8,15.2
Syria,Ovarian cancer,5.1,4.8
Tajikistan,Ovarian cancer,1.8,1.6
Thailand,Ovarian cancer,7.4,11.5
Togo,Ovarian cancer,4.1,2.6
Trinidad and Tobago,Ovarian cancer,11.1,16.4
United Arab Emirates,Ovarian cancer,5.4,3.3
Tunisia,Ovarian cancer,4.6,5.9
Türkiye,Ovarian cancer,6.9,8.9
Turkmenistan,Ovarian cancer,4.5,4.5
Uganda,Ovarian cancer,5.6,2.9
Ukraine,Ovarian cancer,11.0,18.4
North Macedonia,Ovarian cancer,6.4,10.2
Egypt,Ovarian cancer,6.4,5.8
United Kingdom,Ovarian cancer,9.2,18.5
Tanzania,Ovarian cancer,3.8,2.2
United States,Ovarian cancer,7.3,12.5
Burkina Faso,Ovarian cancer,8.5,5.0
Uruguay,Ovarian cancer,8.0,13.3
Uzbekistan,Ovarian cancer,4.8,5.0
Venezuela,Ovarian cancer,6.1,7.1
Samoa,Ovarian cancer,14.2,12.3
Yemen,Ovarian cancer,2.9,2.2
Zambia,Ovarian cancer,3.6,2.0
"Micronesia, Fed. Sts.",Ovarian cancer,7.3,7.9
Afghanistan,Pancreatic cancer,1.9,0.91
Albania,Pancreatic cancer,5.3,10.5
Algeria,Pancreatic cancer,2.6,2.6
Angola,Pancreatic cancer,1.6,0.81
Azerbaijan,Pancreatic cancer,3.0,3.5
Argentina,Pancreatic cancer,7.9,12.1
Australia,Pancreatic cancer,7.0,15.3
Austria,Pancreatic cancer,9.4,23.8
Bahamas,Pancreatic cancer,3.1,4.0
Bahrain,Pancreatic cancer,2.8,1.6
Bangladesh,Pancreatic cancer,0.88,0.82
Armenia,Pancreatic cancer,9.3,15.8
Barbados,Pancreatic cancer,6.1,13.5
Belgium,Pancreatic cancer,7.5,20.0
Bhutan,Pancreatic cancer,2.0,1.8
Bolivia,Pancreatic cancer,3.0,3.3
Bosnia and Herzegovina,Pancreatic cancer,7.1,15.5
Botswana,Pancreatic cancer,0.75,0.57
Brazil,Pancreatic cancer,4.7,6.8
Belize,Pancreatic cancer,2.6,2.2
Solomon Islands,Pancreatic cancer,1.7,0.97
Brunei Darussalam,Pancreatic cancer,4.0,4.0
Bulgaria,Pancreatic cancer,7.5,18.7
Myanmar,Pancreatic cancer,1.3,1.4
Burundi,Pancreatic cancer,1.5,0.64
Belarus,Pancreatic cancer,7.2,14.4
Cambodia,Pancreatic cancer,1.4,1.1
Cameroon,Pancreatic cancer,1.4,0.67
Canada,Pancreatic cancer,7.5,18.1
Cabo Verde,Pancreatic cancer,1.2,0.88
Central African Republic,Pancreatic cancer,1.2,0.58
Sri Lanka,Pancreatic cancer,0.83,1.3
Chad,Pancreatic cancer,2.0,0.91
Chile,Pancreatic cancer,5.5,9.9
China,Pancreatic cancer,4.4,8.4
Colombia,Pancreatic cancer,4.0,5.5
Comoros,Pancreatic cancer,0.76,0.44
Congo Republic,Pancreatic cancer,1.1,0.64
DR Congo,Pancreatic cancer,1.4,0.7
Costa Rica,Pancreatic cancer,4.2,6.7
Croatia,Pancreatic cancer,7.3,19.7
Cuba,Pancreatic cancer,4.4,9.6
Cyprus,Pancreatic cancer,8.6,17.6
Czechia,Pancreatic cancer,9.3,23.1
Benin,Pancreatic cancer,3.2,1.6
Denmark,Pancreatic cancer,8.5,23.2
Dominican Republic,Pancreatic cancer,5.0,5.6
